month,town-district,zipcode,temperature,rainfall (inches)
dec,Wheeler Army Airfield	96854,96854,70.3,4.7
jan,Schofield Barracks	96857,96857,69,7
feb,Schofield Barracks	96857,96857,68.7,5
mar,Schofield Barracks	96857,96857,69.2,5.4
apr,Schofield Barracks	96857,96857,69,5.7
may,Schofield Barracks	96857,96857,70.7,3.4
jun,Schofield Barracks	96857,96857,72.4,2.7
jul,Schofield Barracks	96857,96857,73.2,3.3
aug,Schofield Barracks	96857,96857,73.9,2.1
sep,Schofield Barracks	96857,96857,74.4,2.2
oct,Schofield Barracks	96857,96857,73.7,3.5
nov,Schofield Barracks	96857,96857,72.2,5
dec,Schofield Barracks	96857,96857,70.3,4.7
jan,Fort Shafter,96858,73,2.7
feb,Fort Shafter,96858,73,2.4
mar,Fort Shafter,96858,74.3,1.9
apr,Fort Shafter,96858,75.6,1.1
may,Fort Shafter,96858,77.2,0.8
jun,Fort Shafter,96858,79.5,0.4
jul,Fort Shafter,96858,80.8,0.5
aug,Fort Shafter,96858,81.8,0.5
sep,Fort Shafter,96858,81.5,0.7
oct,Fort Shafter,96858,80.2,2.2
nov,Fort Shafter,96858,77.7,2.3
dec,Fort Shafter,96858,74.8,2.9
jan,Tripler Army Medical Center,96859,73,2.7
feb,Tripler Army Medical Center,96859,73,2.4
mar,Tripler Army Medical Center,96859,74.3,1.9
apr,Tripler Army Medical Center,96859,75.6,1.1
may,Tripler Army Medical Center,96859,77.2,0.8
jun,Tripler Army Medical Center,96859,79.5,0.4
jul,Tripler Army Medical Center,96859,80.8,0.5
aug,Tripler Army Medical Center,96859,81.8,0.5
sep,Tripler Army Medical Center,96859,81.5,0.7
oct,Tripler Army Medical Center,96859,80.2,2.2
nov,Tripler Army Medical Center,96859,77.7,2.3
dec,Tripler Army Medical Center,96859,74.8,2.9
jan,Pearl Harbor,96860,73,2.7
feb,Pearl Harbor,96860,73,2.4
mar,Pearl Harbor,96860,74.3,1.9
apr,Pearl Harbor,96860,75.6,1.1
may,Pearl Harbor,96860,77.2,0.8
jun,Pearl Harbor,96860,79.5,0.4
jul,Pearl Harbor,96860,80.8,0.5
aug,Pearl Harbor,96860,81.8,0.5
sep,Pearl Harbor,96860,81.5,0.7
oct,Pearl Harbor,96860,80.2,2.2
nov,Pearl Harbor,96860,77.7,2.3
dec,Pearl Harbor,96860,74.8,2.9
jan,Camp H M Smith,96861,71.5,8.5
feb,Camp H M Smith,96861,71.8,6
mar,Camp H M Smith,96861,72.3,6.5
apr,Camp H M Smith,96861,73.2,6.6
may,Camp H M Smith,96861,74.6,5
jun,Camp H M Smith,96861,76.3,4.6
jul,Camp H M Smith,96861,77,5.1
aug,Camp H M Smith,96861,77.9,4.5
sep,Camp H M Smith,96861,77.9,4.9
oct,Camp H M Smith,96861,77,6.4
nov,Camp H M Smith,96861,74.8,9.5
dec,Camp H M Smith,96861,73.1,7.3
jan,M C B H Kaneohe Bay,96863,73.8,4.4
feb,M C B H Kaneohe Bay,96863,73.8,5.8
mar,M C B H Kaneohe Bay,96863,74.4,2.9
apr,M C B H Kaneohe Bay,96863,75.1,3.1
may,M C B H Kaneohe Bay,96863,76.4,2.1
jun,M C B H Kaneohe Bay,96863,78,2.2
jul,M C B H Kaneohe Bay,96863,78.9,1.7
aug,M C B H Kaneohe Bay,96863,79.8,1.7
sep,M C B H Kaneohe Bay,96863,80.3,2
oct,M C B H Kaneohe Bay,96863,79.3,3
nov,M C B H Kaneohe Bay,96863,77.1,4.4
dec,M C B H Kaneohe Bay,96863,75,4
jan,Wake Island,96898,73,2.7
feb,Wake Island,96898,73,2.4
mar,Wake Island,96898,74.3,1.9
apr,Wake Island,96898,75.6,1.1
may,Wake Island,96898,77.2,0.8
jun,Wake Island,96898,79.5,0.4
jul,Wake Island,96898,80.8,0.5
aug,Wake Island,96898,81.8,0.5
sep,Wake Island,96898,81.5,0.7
oct,Wake Island,96898,80.2,2.2
nov,Wake Island,96898,77.7,2.3
dec,Wake Island,96898,74.8,2.9
